nickname,gender,grade,q_self,q_teacher,GPA
iakuhs,2,5,60,60,4.2
ToMmyDong,1,1,100,100,5
s,2,4,60,90,4
Jhang,1,4,70,85,3.7
Ryan,2,1,80,90,4.05
Ycyc,1,4,100,90,4.3
Liuba,1,5,85,90,3.13
guest001,2,1,80,80,3.2
WhaDaFuq,1,1,85,80,2.99
irenYujing,2,2,90,90,3.86
ying-shu,1,3,90,95,3.74
genius,2,2,75,95,3
dina,1,1,65,90,4.07
patricia C,1,2,70,50,4.19
Evan Huang,2,1,80,90,4.18
Emily Shih,1,2,80,100,4
Timmy,2,2,90,80,3.2
Shan,2,4,85,80,4
Shinomiya Kaguya,1,4,100,87,4.2
seashell,2,2,80,80,3.5
na,2,1,100,100,3.7
OhYah,2,3,60,100,4.23
TAT,1,4,75,70,3
QQQ,0,1,100,100,3.3
Mictu,2,4,70,100,4.3
1dai1dai1dai,1,1,87,99,4.1
Cate,2,4,80,90,3.9
otterson,1,5,99,75,4.3
Claire,2,2,75,80,3.5
NTUST,2,2,80,96,3.8
 Anone Anone,2,4,85,80,4.1
annann,1,1,87,75,4.18
Kris,1,2,85,90,3.81
shinyue,1,4,70,95,4.03
adam,2,1,100,100,3.6
Clarissa,1,4,85,100,4.3
K,2,2,70,90,3
Jerry,2,1,65,80,4
jimmy,2,4,64,80,4.06
kobayashi rin,1,2,75,90,3.33
bulahi,2,4,60,80,4.1
Charles,2,1,61,99.9,3.58
meow,1,1,78,89,3.9
Henry,1,4,80,100,3.6
ariel,1,2,70,90,4
trumpy,0,4,87,99,4
bolee,2,1,70,90,3.13
mm,1,1,70,60,3.33
shawn,1,1,80,100,3.8
KaiSquare,2,3,90,90,3.5
SeanN,2,3,80,101,3.8
amychou,1,4,88,100,4.1
Chiwawa,2,4,60,100,3.99
lanhi,2,4,80,99,4.2
Wu,2,2,60,95,3.86
Jacky,2,4,50,80,3.5
meowmeow,1,1,100,100,4.3
eric,2,1,20,100,3.14
c,1,2,80,80,4.22
wu,1,2,80,90,4.1
bearly,2,5,80,100,2.7
baek,1,4,70,70,4.3
Boer,1,4,90,100,4.1
kappa,1,5,50,99,4.2
hhr,1,4,80,90,4.1
Lee,2,4,80,90,3.98
hhl,1,2,80,100,4.11
peanutbutter,1,1,60,90,2.96
sam,2,1,60,100,3.9
ilovesushi,2,2,87,90,3.75
rox,2,4,80,90,4
godiclili,2,3,30,80,4.25
afang,1,5,30,30,4
GodTon,2,5,60,90,2
seaotter,2,5,99,87,4.3
higannotabihito,2,5,30,87,3.5
wow,2,2,100,99,4
solid,1,5,85,90,3.9
87heng87,2,2,20,60,4.02
super q,2,3,100,100,4.29
kyaya,1,4,82,93,3.9
amy,2,3,100,100,0
kkk,1,4,80,90,3.7
kiki,2,2,10,100,5
KH,2,4,50,100,3.7
